title,content_id
신흥사(충주),322909
쌍곡구곡,125835
악어봉,2610560
악휘봉,127835
안심사(청주),125897
안터선사공원,1673608
암서재,1626622
앙성온천지구,128006
앙성탄산온천,128020
애한정,1434822
양방산전망대,1626685
양백폭포,3009127
양성산,3071435
어제 달천 충렬사비,1687791
에덴파크 단양,3080013
에이스 침대 음성공장,1859871
여적암(보은),337440
여천리 돌리네군,2931996
연곡계곡,127790
연곡저수지,127791
연안이씨 쌍효각,1687841
연암지질생태공원,2782902
연제 안승갑 고가,1393351
연풍성지,1626555
연풍향교,1626584
연풍향청,1678406
연하협구름다리,2761669
연화사(청주),337510
영국사(영동),337518
영동 가학루,252584
영동 국악체험촌,2020734
영동 금강모치마을,128338
영동 김참판댁,798830
영동 난계사,125985
영동 덕수이씨 육세팔효정문,798535
영동 레인보우 힐링 관광지,3061805
영동 비단강숲마을,762760
영동 사로당,252592
영동 삼괴당,252594
영동 성장환 고택,1626791
영동 세천재,798675
영동 소석고택,1626773
영동 영모재,252591
영동 와인터널,2633949
영동 추풍령 전적 및 장지현 순절비,252590
영동 한천정사,798870
영동 화수루,798759
영동 흥학당,798925
영동규당고택,1626784
영동블루와인농원,2609175
영동향교,252595
영수사(진천),125920
영천사(충북),337538
영축선원(충북),337543
영춘향교,1954374
옛청주역사공원,3070955
오가닉메이커협동조합,2773780
오뚜기 대풍공장,2465582
오송호수공원,2769722
오창 미래지 한옥마을,2769810
오창호수공원,2766534
옥계폭포,125838
옥동연꽃방죽,2615397
옥성저수지,2761688
옥순대교,2610559
옥순봉생태공원,2790499
옥천 경율당,1944693
옥천 구읍벽화마을,2782452
옥천 독락정,756463
옥천 석탄리 고인돌,125955
옥천 석탄리 선돌,1673567
옥천 육영수 생가,1944698
옥천 이지당,753420
옥천 장수마을,802472
옥천 청산향교,1954409
옥천 후율당,125958
옥천금강수변친수공원,2732640
옥천선사공원,2770301
옥천성당,2717818
옥천향교,1954386
옥화1경 청석굴,2766539
옥화9경,127648
옥화자연휴양림,127080
온달관광지,2616453
용계저수지,2770018
용담사(충주),1687966
용담폭포,127639
용두산 산림욕장,1683871
용암사(옥천),125890
용추폭포,2789658
용추폭포 유리전망대,2706020
용하구곡,127607
용화사(진천),346649
용화사(청주),346650
우드트레인,1927844
우림정원,2761690
우암 송시열묘,127624
우암산,125825
"우천석, 우팽 부자 묘소",1688001
운곡서원,1956263
운곡서원(음성),1626855
운용사(충북),346685
원각사(충북),346902
원남저수지(원남제),2770027
원풍리 마애불병좌상,231902
원호 유허비 및 관란정,125975
월류봉(한천팔경),2606381
월리사(청주),347228
월명사(제천),347230
월악산 약초마을,1683936
월악산국립공원,125814
월악선착장,2755951
위정사,1678462
율리휴양촌,1087135
율봉근린공원,3071456
음성 경호정,1627345
음성 공산정 고택,1626843
음성 수정산성,2722250
